"timeframe","pair","q","lambda_xy","h_x","h_y"
"H4","VN30-VNINDEX",5,0.470257788591678,0.475770024260048,0.465319923045841
"H4","VN30-VN100",-5,0.767069071008478,0.726799345905124,0.724325083305491
"H4","VN30-VN100",-4,0.728176382201784,0.693812115506891,0.696530533684325
"H4","VN30-VN100",-3,0.679797536468875,0.656860893647904,0.663681326515625
"H4","VN30-VN100",-2,0.636028024100121,0.624869884461457,0.632369070149311
"H4","VN30-VN100",-1,0.607626529814758,0.602401607007069,0.60858861560081
"H4","VN30-VN100",1,0.564136996402253,0.563473629477413,0.564444573331624
"H4","VN30-VN100",2,0.539071374881676,0.539926512514615,0.53831114755961
"H4","VN30-VN100",3,0.513919061286205,0.515675520374184,0.512569255582761
"H4","VN30-VN100",4,0.491800784034391,0.493905771794609,0.4902950282763
"H4","VN30-VN100",5,0.4735804969463,0.475770024260048,0.47210080981973
"H4","VN100-VNINDEX",-5,0.793773431250295,0.724325083305491,0.703559224220043
"H4","VN100-VNINDEX",-4,0.760322973113627,0.696530533684325,0.680829834722411
"H4","VN100-VNINDEX",-3,0.714738776097892,0.663681326515625,0.655233920140257
"H4","VN100-VNINDEX",-2,0.661459958279132,0.632369070149311,0.630651010734053
"H4","VN100-VNINDEX",-1,0.61958811654788,0.60858861560081,0.609405379261255
"H4","VN100-VNINDEX",1,0.565409508614975,0.564444573331624,0.563669351263743
"H4","VN100-VNINDEX",2,0.537150891128079,0.53831114755961,0.53575901843754
"H4","VN100-VNINDEX",3,0.50997072374607,0.512569255582761,0.508247572121699
"H4","VN100-VNINDEX",4,0.486835608187161,0.4902950282763,0.484508607623272
"H4","VN100-VNINDEX",5,0.46819135366344,0.47210080981973,0.465319923045841
"H4","Pcap-VN30",-5,0.941629351087289,0.745022245443944,0.726799345905124
"H4","Pcap-VN30",-4,0.887971073602989,0.716430368032244,0.693812115506891
"H4","Pcap-VN30",-3,0.810054339963822,0.681757588306882,0.656860893647904
"H4","Pcap-VN30",-2,0.712061739646291,0.647737557174417,0.624869884461457
"H4","Pcap-VN30",-1,0.637402890791057,0.620197026005659,0.602401607007069
"H4","Pcap-VN30",1,0.566561176151714,0.565885349559754,0.563473629477413
"H4","Pcap-VN30",2,0.536827569905087,0.535768630369868,0.539926512514615
"H4","Pcap-VN30",3,0.509761095331731,0.508528010610457,0.515675520374184
"H4","Pcap-VN30",4,0.487247858731641,0.486590281685394,0.493905771794609
"H4","Pcap-VN30",5,0.469151580512361,0.469507352226097,0.475770024260048
"H4","Pheur-VN30",-5,0.857872986983656,0.686248659279413,0.726799345905124
"H4","Pheur-VN30",-4,0.808293700381224,0.664574258168305,0.693812115506891
"H4","Pheur-VN30",-3,0.733005271407032,0.641105917048545,0.656860893647904
"H4","Pheur-VN30",-2,0.633066039358248,0.618507488609152,0.624869884461457
"H4","Pheur-VN30",-1,0.566553437393969,0.599233913398719,0.602401607007069
"H4","Pheur-VN30",1,0.545545562941947,0.563655443781451,0.563473629477413
"H4","Pheur-VN30",2,0.533989059497847,0.543139435819769,0.539926512514615
"H4","Pheur-VN30",3,0.518015825066555,0.521275074856383,0.515675520374184
"H4","Pheur-VN30",4,0.50095850240145,0.500216595308163,0.493905771794609
"H4","Pheur-VN30",5,0.485119968431005,0.481612416154545,0.475770024260048
"H4","Pratio-VN30",-5,0.77895705663774,0.682589687480902,0.726799345905124
"H4","Pratio-VN30",-4,0.736082100464581,0.660928471230752,0.693812115506891
"H4","Pratio-VN30",-3,0.673734862161216,0.637454030052958,0.656860893647904
"H4","Pratio-VN30",-2,0.594495696507407,0.614953087822743,0.624869884461457
"H4","Pratio-VN30",-1,0.547979861592412,0.596183828807807,0.602401607007069
"H4","Pratio-VN30",1,0.546001456120258,0.562816615773489,0.563473629477413
"H4","Pratio-VN30",2,0.536016791063368,0.543931654633769,0.539926512514615
"H4","Pratio-VN30",3,0.521413364445105,0.523778853302992,0.515675520374184
"H4","Pratio-VN30",4,0.505859744098758,0.504116861250854,0.493905771794609
"H4","Pratio-VN30",5,0.491484064734371,0.486432978889844,0.475770024260048
"H4","Pres-VN30",-5,0.685346008205495,0.702629383112061,0.726799345905124
"H4","Pres-VN30",-4,0.652810406999816,0.677642785878806,0.693812115506891
"H4","Pres-VN30",-3,0.609802277262568,0.650712513011232,0.656860893647904
"H4","Pres-VN30",-2,0.562782804629207,0.625504545686477,0.624869884461457
"H4","Pres-VN30",-1,0.540905753279391,0.604350730609853,0.602401607007069
"H4","Pres-VN30",1,0.542516987267093,0.564779971038227,0.563473629477413
"H4","Pres-VN30",2,0.530316875767176,0.541942273731299,0.539926512514615
"H4","Pres-VN30",3,0.511814572440774,0.517923423311957,0.515675520374184
"H4","Pres-VN30",4,0.492108668710741,0.495349813505186,0.493905771794609
"H4","Pres-VN30",5,0.474100616157077,0.475933121183822,0.475770024260048
